type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,059199,欣興永豐99購02,TW20Z0591996,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05919P,京鼎元大96售03,TW19Z05919P0,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059200,京鼎永豐99購02,TW20Z0592002,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059201,祥碩永豐99購02,TW20Z0592010,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059202,禾聯碩永豐99購01,TW20Z0592028,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059203,勤誠永豐99購02,TW20Z0592036,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059204,台灣50元大01購02,TW20Z0592044,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059205,元石油元大99購01,TW20Z0592051,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059206,元石油元大99購02,TW20Z0592069,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059207,臺指反元大9C購02,TW20Z0592077,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059208,SGBR2X元大99購02,TW20Z0592085,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059209,華通元大99購08,TW20Z0592093,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05920P,力成元大96售04,TW19Z05920P8,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059210,鴻海元大99購26,TW20Z0592101,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059211,鴻海元大99購27,TW20Z0592119,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059212,鴻海元大99購28,TW20Z0592127,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059213,國巨元大99購19,TW20Z0592135,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059214,國巨元大99購20,TW20Z0592143,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059215,台積電元大99購28,TW20Z0592150,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059216,台積電元大99購29,TW20Z0592168,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059217,台積電元大99購30,TW20Z0592176,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059218,台積電元大99購31,TW20Z0592184,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059219,旺宏元大99購12,TW20Z0592192,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05921P,同欣電元大96售06,TW19Z05921P6,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059220,聯發科元大99購20,TW20Z0592200,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059221,聯發科元大99購21,TW20Z0592218,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059222,聯發科元大99購22,TW20Z0592226,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059223,大立光元大99購14,TW20Z0592234,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059224,大立光元大99購15,TW20Z0592242,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059225,臺股指元大99購18,TW20Z0592259,2020/03/17,上市,,RWICCE
上市認購(售)權證,059226,臺股指元大99購19,TW20Z0592267,2020/03/17,上市,,RWICCE
上市認購(售)權證,059227,臺股指元大99購20,TW20Z0592275,2020/03/17,上市,,RWICCE
上市認購(售)權證,059228,臺股指元大99購21,TW20Z0592283,2020/03/17,上市,,RWICCE
上市認購(售)權證,059229,臺股指元大99購22,TW20Z0592291,2020/03/17,上市,,RWICCE
上市認購(售)權證,05922P,京元電兆豐96售01,TW19Z05922P4,2019/12/24,上市,,RWSCPE
上市認購(售)權證,059230,滬深2X國票9B購02,TW20Z0592309,2020/03/18,上市,,RWBCCA
上市認購(售)權證,059231,華通國票9A購04,TW20Z0592317,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059232,台灣50凱基03購01,TW20Z0592325,2020/03/18,上市,,RWBCCA
上市認購(售)權證,059233,台灣50凱基9C購02,TW20Z0592333,2020/03/18,上市,,RWBCCA
上市認購(售)權證,059234,台灣50凱基9C購03,TW20Z0592341,2020/03/18,上市,,RWBCCA
上市認購(售)權證,059235,鴻海凱基99購08,TW20Z0592358,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059236,鴻海凱基99購09,TW20Z0592366,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059237,鴻海凱基9A購10,TW20Z0592374,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059238,台積電凱基99購11,TW20Z0592382,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059239,台積電凱基99購12,TW20Z0592390,2020/03/18,上市,,RWSCCA
上市認購(售)權證,05923P,旺宏元富96售05,TW19Z05923P2,2019/12/24,上市,,RWSCPE
上市認購(售)權證,059240,台積電凱基9A購09,TW20Z0592408,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059241,旺宏凱基99購07,TW20Z0592416,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059242,南亞科凱基99購06,TW20Z0592424,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059243,聯發科凱基99購12,TW20Z0592432,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059244,聯發科凱基99購13,TW20Z0592440,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059245,聯發科凱基9A購03,TW20Z0592457,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059246,奇力新凱基9A購02,TW20Z0592465,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059247,可成凱基99購05,TW20Z0592473,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059248,華新科凱基99購04,TW20Z0592481,2020/03/18,上市,,RWSCCA
上市認購(售)權證,059249,大立光凱基99購05,TW20Z0592499,2020/03/18,上市,,RWSCCA
上市認購(售)權證,05924P,超眾元富96售04,TW19Z05924P0,2019/12/24,上市,,RWSCPE
